# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun 25 09:39:08 2026
#
# User preference: *
#
# CONSTRAINT:  where (soltype like '%confirmed%'
# CONSTRAINT:  and pl_controv_flag = 0
# CONSTRAINT:  and pl_radj > 0
# CONSTRAINT:  and pl_bmassj > 0)
# CONSTRAINT:  order by pl_bmassj desc
#
# COLUMN pl_name:        Planet Name
# COLUMN sy_snum:        Number of Stars
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
#
pl_name,sy_snum,discoverymethod,disc_year,soltype,pl_controv_flag,pl_radj,pl_bmassj
ZTF J1828+2308 b,1,Transit,2025,Published Confirmed,0,0.99300000,20.00000000
V2376 Ori b,1,Imaging,2025,Published Confirmed,0,7.78000000,20.00000000
GQ Lup b,1,Imaging,2004,Published Confirmed,0,3.00000000,20.00000000
GPX-1 b,1,Transit,2021,Published Confirmed,0,1.47000000,19.70000000
TOI-1278 b,1,Transit,2021,Published Confirmed,0,1.09000000,18.50000000
Kepler-39 b,1,Transit,2011,Published Confirmed,0,1.22000000,18.00000000
Kepler-39 b,1,Transit,2011,Published Confirmed,0,1.09200000,17.90000000
kap And b,1,Imaging,2012,Published Confirmed,0,1.42000000,17.30000000
Kepler-30 d,1,Transit,2012,Published Confirmed,0,0.94566866,17.00000000
KELT-20 b,1,Transit,2017,Published Confirmed,0,1.83000000,17.00000000
CT Cha b,1,Imaging,2007,Published Confirmed,0,2.20000000,17.00000000
VHS J125601.92-125723.9 b,2,Imaging,2015,Published Confirmed,0,1.22000000,16.00000000
TOI-201 c,1,Transit Timing Variations,2025,Published Confirmed,0,0.92782745,15.70029579
GSC 06214-00210 b,1,Imaging,2010,Published Confirmed,0,1.80000000,15.00000000
BD+60 1417 b,1,Imaging,2021,Published Confirmed,0,1.31000000,15.00000000
TOI-201 c,1,Transit Timing Variations,2025,Published Confirmed,0,0.99300000,14.20000000
TOI-519 b,1,Transit,2021,Published Confirmed,0,1.07000000,14.00000000
2MASS J02192210-3925225 b,1,Imaging,2015,Published Confirmed,0,1.44000000,13.90000000
WD 1856+534 b,3,Transit,2020,Published Confirmed,0,0.92782585,13.80000000
Kepler-27 c,1,Transit,2011,Published Confirmed,0,0.43700000,13.80000000
XO-3 b,1,Transit,2007,Published Confirmed,0,1.32000000,13.27000000
XO-3 b,1,Transit,2007,Published Confirmed,0,1.95000000,13.25000000
EPIC 248847494 b,1,Transit,2018,Published Confirmed,0,1.11000000,13.00000000
HATS-70 b,1,Transit,2019,Published Confirmed,0,1.38400000,12.90000000
TOI-4603 b,1,Transit,2023,Published Confirmed,0,1.04200000,12.89000000
TIC 4672985 b,1,Transit,2024,Published Confirmed,0,1.02600000,12.74000000
Kepler-25 b,2,Transit,2011,Published Confirmed,0,0.23200000,12.70000000
HD 206893 c,1,Imaging,2022,Published Confirmed,0,1.46000000,12.70000000
BD-14 3065 b,3,Transit,2024,Published Confirmed,0,1.92600000,12.37000000
VHS J125601.92-125723.9 b,2,Imaging,2015,Published Confirmed,0,1.30000000,12.00000000
XO-3 b,1,Transit,2007,Published Confirmed,0,1.24800000,11.83000000
XO-3 b,1,Transit,2007,Published Confirmed,0,1.21700000,11.79000000
XO-3 b,1,Transit,2007,Published Confirmed,0,1.21700000,11.70000000
TOI-5261 b,1,Transit,2025,Published Confirmed,0,1.03500000,11.49000000
WASP-18 b,2,Transit,2009,Published Confirmed,0,1.20000000,11.44000000
HAT-P-2 b,1,Transit,2007,Published Confirmed,0,1.20000000,11.43000000
2MASS J0249-0557 c,2,Imaging,2018,Published Confirmed,0,1.55000000,11.38000000
GU Psc b,1,Imaging,2014,Published Confirmed,0,1.26500000,11.30000000
HD 203030 b,1,Imaging,2006,Published Confirmed,0,1.29000000,11.00000000
DH Tau b,1,Imaging,2004,Published Confirmed,0,2.70000000,11.00000000
WASP-18 b,2,Transit,2009,Published Confirmed,0,1.16500000,10.43000000
WASP-18 b,2,Transit,2009,Published Confirmed,0,1.16500000,10.43000000
WASP-18 b,2,Transit,2009,Published Confirmed,0,1.19100000,10.40000000
CoRoT-27 b,1,Transit,2014,Published Confirmed,0,1.00700000,10.39000000
WASP-18 b,2,Transit,2009,Published Confirmed,0,1.16300000,10.38000000
CoRoT-27 b,1,Transit,2014,Published Confirmed,0,1.00700000,10.30000000
WASP-18 b,2,Transit,2009,Published Confirmed,0,1.15800000,10.29000000
WASP-18 b,2,Transit,2009,Published Confirmed,0,1.24000000,10.20000000
WASP-18 b,2,Transit,2009,Published Confirmed,0,1.10600000,10.20000000
WASP-18 b,2,Transit,2009,Published Confirmed,0,1.30000000,10.20000000
WASP-18 b,2,Transit,2009,Published Confirmed,0,1.26700000,10.11000000
Kepler-75 b,1,Transit,2013,Published Confirmed,0,1.05000000,10.10000000
Kepler-75 b,1,Transit,2013,Published Confirmed,0,1.05000000,10.10000000
WISPIT 2 c,1,Imaging,2026,Published Confirmed,0,1.60000000,10.00000000
TOI-6330 b,1,Transit,2025,Published Confirmed,0,0.97200000,10.00000000
KOI-12 b,1,Transit,2015,Published Confirmed,0,1.43000000,10.00000000
HR 8799 e,1,Imaging,2010,Published Confirmed,0,1.17000000,10.00000000
HR 8799 d,1,Imaging,2008,Published Confirmed,0,1.20000000,10.00000000
HR 8799 c,1,Imaging,2008,Published Confirmed,0,1.20000000,10.00000000
HD 135344 A b,2,Imaging,2025,Published Confirmed,0,1.45000000,10.00000000
Kepler-75 b,1,Transit,2013,Published Confirmed,0,1.03000000,9.90000000
SWEEPS-11 b,1,Transit,2006,Published Confirmed,0,1.13000000,9.70000000
HATS-41 b,1,Transit,2018,Published Confirmed,0,1.33000000,9.70000000
TOI-2373 b,1,Transit,2023,Published Confirmed,0,0.93000000,9.30000000
KOI-13 b,3,Transit,2011,Published Confirmed,0,1.51200000,9.28000000
TOI-4600 c,1,Transit,2023,Published Confirmed,0,0.84100000,9.27000000
Kepler-27 b,1,Transit,2011,Published Confirmed,0,0.35700000,9.11000000
Kepler-30 c,1,Transit,2012,Published Confirmed,0,1.27576055,9.10000000
HAT-P-2 b,1,Transit,2007,Published Confirmed,0,1.15700000,9.09000000
HAT-P-2 b,1,Transit,2007,Published Confirmed,0,0.98200000,9.04000000
HIP 65426 b,1,Imaging,2017,Published Confirmed,0,1.50000000,9.00000000
HAT-P-2 b,1,Transit,2007,Published Confirmed,0,1.10000000,8.90000000
WASP-14 b,3,Transit,2008,Published Confirmed,0,1.38000000,8.84000000
HAT-P-2 b,1,Transit,2007,Published Confirmed,0,1.19000000,8.74000000
HAT-P-2 b,1,Transit,2007,Published Confirmed,0,1.00300000,8.72000000
HAT-P-2 b,1,Transit,2007,Published Confirmed,0,1.15700000,8.70000000
HAT-P-2 b,1,Transit,2007,Published Confirmed,0,0.95100000,8.62000000
WASP-150 b,1,Transit,2020,Published Confirmed,0,1.07000000,8.46000000
Kepler-14 b,2,Transit,2011,Published Confirmed,0,1.13600000,8.40000000
KOI-13 b,3,Transit,2011,Published Confirmed,0,1.86000000,8.30000000
TOI-6420 b,1,Transit,2025,Published Confirmed,0,1.06500000,8.20000000
WASP-167 b,1,Transit,2017,Published Confirmed,0,1.58000000,8.00000000
PDS 70 b,1,Imaging,2018,Published Confirmed,0,1.30000000,8.00000000
HD 114082 b,1,Radial Velocity,2022,Published Confirmed,0,1.00000000,8.00000000
COCONUTS-2 b,1,Imaging,2021,Published Confirmed,0,1.11000000,8.00000000
1RXS J160929.1-210524 b,1,Imaging,2008,Published Confirmed,0,1.66400000,8.00000000
WASP-14 b,3,Transit,2008,Published Confirmed,0,1.63300000,7.90000000
TOI-6303 b,1,Transit,2025,Published Confirmed,0,1.03400000,7.84000000
CFHTWIR-Oph 98 b,1,Imaging,2020,Published Confirmed,0,1.86000000,7.80000000
WASP-14 b,3,Transit,2008,Published Confirmed,0,1.22100000,7.76000000
Kepler-14 b,2,Transit,2011,Published Confirmed,0,1.12600000,7.68000000
CoRoT-14 b,1,Transit,2010,Published Confirmed,0,1.01800000,7.67000000
CoRoT-14 b,1,Transit,2010,Published Confirmed,0,1.09000000,7.60000000
WASP-14 b,3,Transit,2008,Published Confirmed,0,1.24000000,7.59000000
HAT-P-35 b,3,Transit,2011,Published Confirmed,0,3.55000000,7.52000000
PDS 70 c,1,Imaging,2019,Published Confirmed,0,1.98000000,7.50000000
COCONUTS-2 b,1,Imaging,2021,Published Confirmed,0,1.12200000,7.50000000
CoRoT-14 b,1,Transit,2010,Published Confirmed,0,1.09000000,7.42000000
WASP-14 b,3,Transit,2008,Published Confirmed,0,1.28100000,7.34100000
HAT-P-20 b,1,Transit,2010,Published Confirmed,0,0.87000000,7.30000000
XO-3 b,1,Transit,2007,Published Confirmed,0,1.41000000,7.29000000
HAT-P-20 b,1,Transit,2010,Published Confirmed,0,0.86700000,7.27000000
HAT-P-20 b,1,Transit,2010,Published Confirmed,0,0.86700000,7.24600000
WASP-14 b,3,Transit,2008,Published Confirmed,0,1.28100000,7.22000000
HAT-P-20 b,1,Transit,2010,Published Confirmed,0,1.02500000,7.22000000
HAT-P-34 b,1,Transit,2011,Published Confirmed,0,1.35000000,7.01000000
bet Pic b,1,Imaging,2008,Published Confirmed,0,1.65000000,7.00000000
HR 8799 b,1,Imaging,2008,Published Confirmed,0,1.20000000,7.00000000
Kepler-9 b,1,Transit,2010,Published Confirmed,0,0.79000000,6.84400000
Kepler-31 d,1,Transit,2014,Published Confirmed,0,0.34793470,6.80000000
HAT-P-70 b,1,Transit,2019,Published Confirmed,0,1.87000000,6.78000000
Kepler-553 c,1,Transit,2016,Published Confirmed,0,1.03300000,6.70000000
TOI-5350 b,1,Transit,2025,Published Confirmed,0,1.10800000,6.59000000
KOI-13 b,3,Transit,2011,Published Confirmed,0,1.40600000,6.51500000
TOI-2005 b,1,Transit,2025,Published Confirmed,0,1.07000000,6.40000000
TOI-628 b,1,Transit,2021,Published Confirmed,0,1.06000000,6.33000000
COCONUTS-2 b,1,Imaging,2021,Published Confirmed,0,1.11000000,6.30000000
TIC 279401253 b,1,Transit,2023,Published Confirmed,0,1.00000000,6.14000000
Qatar-4 b,1,Transit,2017,Published Confirmed,0,1.13500000,6.10000000
HD 143811 AB b,2,Imaging,2025,Published Confirmed,0,1.40000000,6.10000000
TOI-559 b,1,Transit,2021,Published Confirmed,0,1.09100000,6.01000000
TYC 8998-760-1 c,1,Imaging,2020,Published Confirmed,0,1.10000000,6.00000000
Ross 458 c,2,Imaging,2010,Published Confirmed,0,1.25000000,6.00000000
Kepler-46 b,1,Transit,2012,Published Confirmed,0,0.80800000,6.00000000
TOI-2338 b,1,Transit,2023,Published Confirmed,0,1.00000000,5.98000000
WASP-89 b,1,Transit,2015,Published Confirmed,0,1.04000000,5.90000000
TOI-4465 b,1,Transit,2025,Published Confirmed,0,1.25000000,5.89000000
WASP-89 b,1,Transit,2015,Published Confirmed,0,1.04000000,5.80000000
TOI-2379 b,1,Transit,2024,Published Confirmed,0,1.04600000,5.76000000
TOI-2145 b,1,Transit,2023,Published Confirmed,0,1.09200000,5.68000000
TOI-2145 b,1,Transit,2023,Published Confirmed,0,1.10795061,5.55960374
TOI-172 b,1,Transit,2019,Published Confirmed,0,0.96500000,5.42000000
Kepler-432 b,2,Transit,2015,Published Confirmed,0,1.14500000,5.41000000
HATS-66 b,1,Transit,2018,Published Confirmed,0,1.41100000,5.33000000
KOI-12 b,1,Transit,2015,Published Confirmed,0,1.54000000,5.32000000
TOI-4773 b,1,Transit,2025,Published Confirmed,0,1.35800000,5.31000000
Kepler-1514 b,1,Transit,2016,Published Confirmed,0,1.10800000,5.28000000
TOI-2145 b,1,Transit,2023,Published Confirmed,0,1.06900000,5.26000000
WD 1856+534 b,3,Transit,2020,Published Confirmed,0,0.94600000,5.20000000
WASP-162 b,1,Transit,2018,Published Confirmed,0,1.00000000,5.20000000
K2-416 b,1,Transit,2023,Published Confirmed,0,0.23730971,5.20000000
2MASS J12073346-3932539 b,1,Imaging,2004,Published Confirmed,0,1.40000000,5.20000000
KELT-24 b,2,Transit,2019,Published Confirmed,0,1.27200000,5.18000000
CoRoT-20 b,1,Transit,2011,Published Confirmed,0,1.16000000,5.06000000
Kepler-30 c,1,Transit,2012,Published Confirmed,0,1.00200000,5.04600000
TOI-3362 b,1,Transit,2021,Published Confirmed,0,1.14200000,5.02900000
TOI-2109 b,1,Transit,2021,Published Confirmed,0,1.34700000,5.02000000
TIC 241249530 b,2,Transit,2024,Published Confirmed,0,1.18600000,4.98000000
WISPIT 2 b,1,Imaging,2025,Published Confirmed,0,1.60000000,4.90000000
Kepler-432 b,2,Transit,2015,Published Confirmed,0,1.12000000,4.87000000
HAT-P-21 b,1,Transit,2010,Published Confirmed,0,1.11000000,4.87000000
WASP-120 b,1,Transit,2016,Published Confirmed,0,1.47300000,4.85000000
NGTS-13 b,1,Transit,2021,Published Confirmed,0,1.14200000,4.84000000
TOI-2497 b,1,Transit,2023,Published Confirmed,0,0.99400000,4.82000000
Kepler-31 c,1,Transit,2011,Published Confirmed,0,0.47300000,4.70000000
Kepler-1708 b,1,Transit,2021,Published Confirmed,0,0.88857321,4.60000000
KELT-24 b,2,Transit,2019,Published Confirmed,0,1.13400000,4.59000000
OGLE2-TR-L9 b,1,Transit,2008,Published Confirmed,0,1.61000000,4.50000000
XO-6 b,1,Transit,2016,Published Confirmed,0,2.07000000,4.40000000
TOI-2025 b,1,Transit,2022,Published Confirmed,0,1.11700000,4.40000000
OGLE2-TR-L9 b,1,Transit,2008,Published Confirmed,0,1.63300000,4.40000000
HD 80606 b,2,Radial Velocity,2001,Published Confirmed,0,1.07000000,4.38000000
TIC 393818343 b,2,Transit,2024,Published Confirmed,0,1.08700000,4.34000000
OGLE2-TR-L9 b,1,Transit,2008,Published Confirmed,0,1.61400000,4.34000000
Qatar-5 b,1,Transit,2017,Published Confirmed,0,1.10700000,4.32000000
Qatar-3 b,1,Transit,2017,Published Confirmed,0,1.09600000,4.31000000
CoRoT-20 b,1,Transit,2011,Published Confirmed,0,0.84000000,4.24000000
HAT-P-21 b,1,Transit,2010,Published Confirmed,0,1.13000000,4.23000000
CoRoT-20 b,1,Transit,2011,Published Confirmed,0,0.84000000,4.23000000
HAT-P-16 b,3,Transit,2010,Published Confirmed,0,1.28900000,4.22100000
WASP-186 b,1,Transit,2020,Published Confirmed,0,1.11000000,4.22000000
WASP-186 b,1,Transit,2020,Published Confirmed,0,1.11000000,4.22000000
KELT-24 b,2,Transit,2019,Published Confirmed,0,1.36000000,4.20000000
HAT-P-16 b,3,Transit,2010,Published Confirmed,0,1.28900000,4.19300000
HAT-P-16 b,3,Transit,2010,Published Confirmed,0,1.29000000,4.19300000
HAT-P-16 b,3,Transit,2010,Published Confirmed,0,1.19000000,4.19300000
HAT-P-16 b,3,Transit,2010,Published Confirmed,0,1.19000000,4.18900000
HD 80606 b,2,Radial Velocity,2001,Published Confirmed,0,1.03200000,4.16410000
Kepler-25 c,2,Transit,2011,Published Confirmed,0,0.40100000,4.16000000
Kepler-1704 b,1,Transit,2021,Published Confirmed,0,1.06600000,4.16000000
CoRoT-20 b,1,Transit,2011,Published Confirmed,0,1.00000000,4.14000000
HD 80606 b,2,Radial Velocity,2001,Published Confirmed,0,1.00300000,4.11600000
HD 80606 b,2,Radial Velocity,2001,Published Confirmed,0,1.00300000,4.11400000
WASP-33 b,2,Transit,2010,Published Confirmed,0,1.49700000,4.10000000
Kepler-32 b,1,Transit,2011,Published Confirmed,0,0.19600000,4.10000000
KELT-19 A b,2,Transit,2017,Published Confirmed,0,1.91000000,4.07000000
HAT-P-21 b,1,Transit,2010,Published Confirmed,0,1.02400000,4.06300000
WTS-1 b,1,Transit,2012,Published Confirmed,0,1.49000000,4.01000000
HAT-P-21 b,1,Transit,2010,Published Confirmed,0,1.02400000,3.97000000
HD 80606 b,2,Radial Velocity,2001,Published Confirmed,0,0.98000000,3.94000000
KELT-21 b,1,Transit,2018,Published Confirmed,0,1.58600000,3.91000000
TOI-3919 b,1,Transit,2024,Published Confirmed,0,1.09900000,3.88000000
TOI-4641 b,1,Transit,2023,Published Confirmed,0,0.73000000,3.87000000
SWEEPS-4 b,1,Transit,2006,Published Confirmed,0,0.81000000,3.80000000
TOI-4504 c,1,Transit,2024,Published Confirmed,0,0.99000000,3.76720000
TOI-5301 b,1,Transit,2024,Published Confirmed,0,1.16800000,3.72000000
MASCARA-1 b,1,Transit,2017,Published Confirmed,0,1.50000000,3.70000000
K2-33 b,1,Transit,2016,Published Confirmed,0,0.44963868,3.70000000
WASP-173 A b,2,Transit,2018,Published Confirmed,0,1.20000000,3.69000000
WASP-173 A b,2,Transit,2018,Published Confirmed,0,1.20000000,3.69000000
TOI-5301 b,1,Transit,2024,Published Confirmed,0,1.17700000,3.65000000
NGTS-33 b,1,Transit,2024,Published Confirmed,0,1.64000000,3.63000000
CoRoT-2 b,2,Transit,2008,Published Confirmed,0,1.47000000,3.62000000
TOI-558 b,1,Transit,2021,Published Confirmed,0,1.08600000,3.61000000
WASP-32 b,1,Transit,2010,Published Confirmed,0,1.18000000,3.60000000
WASP-32 b,1,Transit,2010,Published Confirmed,0,1.19000000,3.60000000
TOI-2025 b,1,Transit,2022,Published Confirmed,0,1.06100000,3.60000000
K2-33 b,1,Transit,2016,Published Confirmed,0,0.51387278,3.60000000
HAT-P-69 b,1,Transit,2019,Published Confirmed,0,1.67600000,3.58000000
CoRoT-2 b,2,Transit,2008,Published Confirmed,0,1.46000000,3.57000000
HD 17156 b,1,Radial Velocity,2007,Published Confirmed,0,1.10000000,3.51000000
TOI-2589 b,1,Transit,2023,Published Confirmed,0,1.08000000,3.50000000
TOI-1221 b,1,Transit,2023,Published Confirmed,0,0.25961326,3.50000000
WASP-32 b,1,Transit,2010,Published Confirmed,0,1.10000000,3.49000000
TOI-159 b,2,Transit,2026,Published Confirmed,0,1.62200000,3.49000000
WASP-173 A b,2,Transit,2018,Published Confirmed,0,1.28500000,3.47000000
CoRoT-2 b,2,Transit,2008,Published Confirmed,0,1.46600000,3.47000000
CoRoT-18 b,1,Transit,2011,Published Confirmed,0,1.31000000,3.47000000
Kepler-391 b,1,Transit,2014,Published Confirmed,0,0.22303545,3.46098705
CoRoT-18 b,1,Transit,2011,Published Confirmed,0,1.31000000,3.46000000
WASP-38 b,1,Transit,2010,Published Confirmed,0,1.23000000,3.44000000
HAT-P-14 b,2,Transit,2010,Published Confirmed,0,1.42000000,3.44000000
TOI-5301 b,1,Transit,2024,Published Confirmed,0,1.20700000,3.40000000
HATS-61 b,1,Transit,2018,Published Confirmed,0,1.19500000,3.40000000
KELT-20 b,1,Transit,2017,Published Confirmed,0,1.74100000,3.38200000
TOI-1107 b,1,Transit,2022,Published Confirmed,0,1.30000000,3.35000000
TOI-2992 b,1,Transit,2025,Published Confirmed,0,1.22700000,3.33000000
HAT-P-34 b,1,Transit,2011,Published Confirmed,0,1.19700000,3.33000000
HAT-P-34 b,1,Transit,2011,Published Confirmed,0,1.19700000,3.32800000
CoRoT-2 b,2,Transit,2008,Published Confirmed,0,1.46500000,3.31000000
CoRoT-2 b,2,Transit,2008,Published Confirmed,0,1.41400000,3.31000000
OGLE-TR-56 b,1,Transit,2002,Published Confirmed,0,1.36300000,3.30000000
CoRoT-2 b,2,Transit,2008,Published Confirmed,0,1.46600000,3.30000000
CoRoT-18 b,1,Transit,2011,Published Confirmed,0,1.14600000,3.30000000
WASP-33 b,2,Transit,2010,Published Confirmed,0,1.67900000,3.28000000
HATS-16 b,1,Transit,2016,Published Confirmed,0,1.30000000,3.27000000
CoRoT-18 b,1,Transit,2011,Published Confirmed,0,1.25100000,3.27000000
HD 17156 b,1,Radial Velocity,2007,Published Confirmed,0,1.06500000,3.26200000
TOI-5153 b,1,Transit,2022,Published Confirmed,0,1.06000000,3.26000000
HD 17156 b,1,Radial Velocity,2007,Published Confirmed,0,1.09400000,3.26000000
HD 17156 b,1,Radial Velocity,2007,Published Confirmed,0,1.08700000,3.23500000
Kepler-43 b,1,Transit,2011,Published Confirmed,0,1.20000000,3.23000000
Kepler-43 b,1,Transit,2011,Published Confirmed,0,1.21900000,3.23000000
HD 17156 b,1,Radial Velocity,2007,Published Confirmed,0,1.02000000,3.22000000
HATS-36 b,1,Transit,2018,Published Confirmed,0,1.23500000,3.21600000
HIP 65 A b,2,Transit,2020,Published Confirmed,0,2.03000000,3.21300000
WASP-10 b,1,Transit,2008,Published Confirmed,0,1.06700000,3.21000000
WASP-10 b,1,Transit,2008,Published Confirmed,0,1.10000000,3.20000000
TIC 46432937 b,1,Transit,2024,Published Confirmed,0,1.18800000,3.20000000
PDS 70 b,1,Imaging,2018,Published Confirmed,0,1.96000000,3.20000000
HD 17156 b,1,Radial Velocity,2007,Published Confirmed,0,1.09500000,3.19100000
WASP-10 b,1,Transit,2008,Published Confirmed,0,1.06700000,3.16000000
TOI-1516 b,1,Transit,2022,Published Confirmed,0,1.36000000,3.16000000
WASP-10 b,1,Transit,2008,Published Confirmed,0,1.08000000,3.15000000
HATS-57 b,1,Transit,2019,Published Confirmed,0,1.13900000,3.14700000
Kepler-43 b,1,Transit,2011,Published Confirmed,0,1.16000000,3.14000000
Kepler-43 b,1,Transit,2011,Published Confirmed,0,1.16000000,3.13000000
TOI-1431 b,1,Transit,2021,Published Confirmed,0,1.49000000,3.12000000
MASCARA-4 b,2,Transit,2020,Published Confirmed,0,1.53000000,3.10000000
Kepler-43 b,1,Transit,2011,Published Confirmed,0,1.11500000,3.09000000
CoRoT-23 b,1,Transit,2011,Published Confirmed,0,1.05000000,3.09000000
TIC 172900988 b,2,Transit,2021,Published Confirmed,0,1.00544379,3.08751508
CoRoT-23 b,1,Transit,2011,Published Confirmed,0,1.18000000,3.06000000
Kepler-43 b,1,Transit,2011,Published Confirmed,0,1.12000000,3.03000000
TOI-4600 b,1,Transit,2023,Published Confirmed,0,0.60700000,3.02000000
TOI-2989 b,1,Transit,2025,Published Confirmed,0,1.12000000,3.00000000
TOI-2416 b,1,Transit,2023,Published Confirmed,0,0.88000000,3.00000000
PDS 70 b,1,Imaging,2018,Published Confirmed,0,2.72000000,3.00000000
EPIC 246851721 b,2,Transit,2018,Published Confirmed,0,1.05100000,3.00000000
NGTS-20 b,1,Transit,2022,Published Confirmed,0,1.07000000,2.98000000
Kepler-434 b,1,Transit,2015,Published Confirmed,0,1.13000000,2.98000000
TIC 172900988 b,2,Transit,2021,Published Confirmed,0,1.00365950,2.96386345
WASP-10 b,1,Transit,2008,Published Confirmed,0,1.28000000,2.96000000
CoRoT-6 b,1,Transit,2009,Published Confirmed,0,1.18500000,2.96000000
CoRoT-6 b,1,Transit,2009,Published Confirmed,0,1.16600000,2.96000000
CoRoT-6 b,1,Transit,2009,Published Confirmed,0,1.16600000,2.95000000
TOI-5110 b,1,Transit,2024,Published Confirmed,0,1.06900000,2.90000000
NGTS-9 b,1,Transit,2019,Published Confirmed,0,1.07000000,2.90000000
CoRoT-30 b,1,Transit,2020,Published Confirmed,0,1.00900000,2.90000000
KELT-9 b,2,Transit,2017,Published Confirmed,0,1.89100000,2.88000000
WASP-73 b,1,Transit,2014,Published Confirmed,0,1.42000000,2.86000000
Kepler-434 b,1,Transit,2015,Published Confirmed,0,1.13000000,2.86000000
TOI-2152 A b,3,Transit,2023,Published Confirmed,0,1.28100000,2.83000000
Kepler-433 b,1,Transit,2015,Published Confirmed,0,1.45000000,2.82000000
Kepler-433 b,1,Transit,2015,Published Confirmed,0,1.45000000,2.81000000
WASP-99 b,1,Transit,2014,Published Confirmed,0,1.10000000,2.80000000
TOI-778 b,1,Transit,2023,Published Confirmed,0,1.37000000,2.80000000
CoRoT-23 b,1,Transit,2011,Published Confirmed,0,1.05000000,2.80000000
WASP-158 b,1,Transit,2018,Published Confirmed,0,1.07000000,2.79000000
WASP-99 b,1,Transit,2014,Published Confirmed,0,1.10000000,2.78000000
CoRoT-10 b,1,Transit,2010,Published Confirmed,0,0.94100000,2.78000000
TOI-2180 b,1,Transit,2022,Published Confirmed,0,1.01000000,2.75500000
KELT-16 b,2,Transit,2017,Published Confirmed,0,1.41500000,2.75000000
CoRoT-10 b,1,Transit,2010,Published Confirmed,0,0.97000000,2.75000000
HATS-22 b,1,Transit,2017,Published Confirmed,0,0.95300000,2.74000000
TIC 172900988 b,2,Transit,2021,Published Confirmed,0,0.99919879,2.73638221
CoRoT-10 b,1,Transit,2010,Published Confirmed,0,0.97000000,2.73000000
WASP-38 b,1,Transit,2010,Published Confirmed,0,1.09000000,2.71000000
KELT-16 b,2,Transit,2017,Published Confirmed,0,1.38300000,2.71000000
WASP-38 b,1,Transit,2010,Published Confirmed,0,1.10000000,2.70000000
WASP-38 b,1,Transit,2010,Published Confirmed,0,1.07000000,2.70000000
OGLE-TR-132 b,1,Transit,2004,Published Confirmed,0,1.20000000,2.70000000
